h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa
3.0,9.0,"[2, 8, 103, 9]",1767.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 45, 43, 9]",2412.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 5, 106, 9]",1494.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 208, 41, 9]",9313.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 26, 56, 9]",2012.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 4, 232, 9]",3024.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 2, 171, 9]",1885.0,92.0,738.0,False,False,,,,,,,,
3.0,9.0,"[2, 22, 53, 9]",1687.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 277, 40, 9]",11994.0,720.0,738.0,False,False,,,,,,,,
3.0,9.0,"[2, 22, 41, 9]",1315.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 300, 17, 9]",5853.0,306.0,738.0,False,False,,,,,,,,
3.0,9.0,"[2, 291, 29, 9]",9282.0,522.0,738.0,False,False,,,,,,,,
3.0,9.0,"[2, 18, 62, 9]",1710.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 10, 54, 9]",1046.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 3, 265, 9]",3186.0,489.0,738.0,False,False,,,,,,,,
3.0,9.0,"[2, 4, 179, 9]",2335.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 4, 80, 9]",1048.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 17, 52, 9]",1386.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 1, 294, 9]",2942.0,10.0,738.0,False,False,,,,,,,,
3.0,9.0,"[2, 8, 78, 9]",1342.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 299, 31, 9]",10146.0,558.0,738.0,False,False,,,,,,,,
3.0,9.0,"[2, 6, 79, 9]",1197.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 3, 296, 9]",3558.0,489.0,738.0,False,False,,,,,,,,
3.0,9.0,"[2, 299, 35, 9]",11378.0,630.0,738.0,False,False,,,,,,,,
3.0,9.0,"[2, 291, 36, 9]",11382.0,648.0,738.0,False,False,,,,,,,,
3.0,9.0,"[2, 20, 48, 9]",1432.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 18, 49, 9]",1359.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 3, 299, 9]",3594.0,489.0,738.0,False,False,,,,,,,,
3.0,9.0,"[2, 300, 31, 9]",10179.0,558.0,738.0,False,False,,,,,,,,
3.0,9.0,"[2, 16, 44, 9]",1132.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 21, 43, 9]",1332.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 4, 70, 9]",918.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 6, 62, 9]",942.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 13, 41, 9]",928.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 284, 40, 9]",12288.0,720.0,738.0,False,False,,,,,,,,
3.0,9.0,"[2, 8, 50, 9]",866.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 7, 59, 9]",958.0,738.0,738.0,True,False,,,,,,,,
