h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa,is_unimodal,shrunk_hidden_layers,defect,d0,dh,r
4.0,5.0,"[2, 5, 5, 20, 1]",155.0,125.0,126.0,False,False,125,0.0,1.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",1.2262793999980204,nonfilling,"[[5, 5, 21]]",True,,0.0,2,1,5
4.0,5.0,"[2, 30, 5, 20, 1]",330.0,125.0,126.0,False,False,126,,,,,,,,False,,1.0,2,1,5
4.0,5.0,"[2, 38, 5, 20, 1]",386.0,125.0,126.0,False,False,126,,,,,,,,False,,1.0,2,1,5
4.0,5.0,"[2, 39, 5, 20, 1]",393.0,125.0,126.0,False,False,126,,,,,,,,False,,1.0,2,1,5
4.0,5.0,"[2, 40, 5, 20, 1]",400.0,125.0,126.0,False,False,126,,,,,,,,False,,1.0,2,1,5
4.0,2.0,"[4, 10, 11, 10, 1]",270.0,164.0,165.0,False,False,165,1.0,1.0,dim_backprop_gpu_only/CuPy-CUDA,"(10000019, 19511957)",0.2798294000021997,maximal_subarchitecture_of_recorded_mfa,"[[4, 10, 11, 11, 1]]",True,[3],1.0,4,1,2
4.0,2.0,"[4, 25, 11, 10, 1]",495.0,164.0,165.0,False,False,165,,,,,,,,True,,1.0,4,1,2
4.0,2.0,"[4, 43, 11, 10, 1]",765.0,164.0,165.0,False,False,165,,,,,,,,True,,1.0,4,1,2
4.0,2.0,"[4, 52, 11, 10, 1]",900.0,164.0,165.0,False,False,165,,,,,,,,True,,1.0,4,1,2
4.0,2.0,"[4, 54, 11, 10, 1]",930.0,164.0,165.0,False,False,165,,,,,,,,True,,1.0,4,1,2
4.0,2.0,"[4, 55, 11, 10, 1]",945.0,164.0,165.0,False,False,165,,,,,,,,True,,1.0,4,1,2
4.0,6.0,"[2, 6, 14, 10, 1]",246.0,216.0,217.0,False,False,216,,,,,,,,True,,0.0,2,1,6
4.0,6.0,"[2, 6, 15, 9, 1]",246.0,216.0,217.0,False,False,216,,,,,,,,True,,0.0,2,1,6
4.0,6.0,"[2, 6, 10, 16, 1]",248.0,216.0,217.0,False,False,216,,,,,,,,True,,0.0,2,1,6
4.0,6.0,"[2, 6, 7, 25, 1]",254.0,216.0,217.0,False,False,216,,,,,,,,True,,0.0,2,1,6
